Municipios,AÑO,Cacao,Café,Caña de azucar,Caña panelera,Plátano
Cartago,2016,11.0,345.4,"4,141.8",53.0,172.0
Dagua,2016,325.0,"1,132.9",0.0,322.0,"1,102.0"
El Aguila,2016,20.0,"6,130.6",0.0,63.0,"1,591.0"
El Cairo,2016,0.0,"3,546.1",0.0,75.0,"3,850.0"
El Cerrito,2016,0.0,187.0,"15,425.5",872.0,0.0
El Dovio,2016,28.0,694.0,0.0,288.0,75.0
Florida,2016,16.0,"1,411.0","9,960.0",0.0,278.0
Ginebra,2016,0.0,872.8,"3,330.0",46.0,122.0
Guacarì,2016,5.0,519.8,"13,090.0",51.0,134.0
Jamundì,2016,278.0,"1,466.8","9,215.0",52.0,82.5
La Cumbre,2016,0.0,666.6,0.0,17.0,342.0
La Unión,2016,0.0,467.5,"1,617.5",9.3,38.6
La Victoria,2016,40.0,568.5,"1,535.0",114.0,305.0
Obando,2016,36.5,970.0,"5,714.0",101.0,297.0
Palmira,2016,2.5,404.3,"33,900.0",178.0,141.0
Pradera,2016,0.0,566.4,"10,540.0",0.0,10.0
Restrepo,2016,0.0,610.0,0.0,341.0,678.0
Riofrìo,2016,78.0,"2,879.6","2,830.0",121.0,"3,558.0"
Roldanillo,2016,13.4,813.5,"3,121.0",20.0,57.0
San Pedro,2016,0.0,498.9,"4,820.0",515.0,0.0
Sevilla,2016,20.0,"6,287.8",100.0,238.0,"4,248.0"
Toro,2016,9.0,"1,500.2","2,004.0",0.0,133.0
Trujillo,2016,31.5,"4,214.0",121.0,47.0,"3,505.0"
Tuluà,2016,36.0,"4,110.8","8,130.0",35.0,470.0
Ulloa,2016,0.0,675.1,0.0,0.0,181.0
Versalles,2016,8.5,"1,279.9",0.0,466.0,309.4
Vijes,2016,0.0,629.0,165.0,44.0,181.0
Yotoco,2016,0.0,997.1,"3,295.0",70.0,"1,414.0"
Yumbo,2016,0.0,301.1,"1,700.0",7.8,10.0
Zarzal,2016,5.7,0.0,"17,195.0",39.0,8.7
Cali,2015,0.0,672.0,"4,650.0",0.0,23.0
Alcalá,2015,0.0,"1,417.0",0.0,0.0,"1,090.0"
Andalucia,2015,15.0,252.3,"2,800.0",0.0,100.0
Ansermanuevo,2015,34.0,"4,887.8","1,483.6",75.0,506.0
Argelia,2015,10.0,"2,394.2",0.0,122.0,"1,546.0"
Bolivar,2015,199.0,"1,593.8",635.0,412.0,412.0
Buenaventura,2015,23.0,0.0,0.0,242.0,174.0
Buga,2015,5.0,508.8,"6,565.0",15.0,15.0
Bugalagrande,2015,83.0,"1,886.0","9,165.0",436.0,245.0
Caicedonia,2015,36.0,"4,558.4",100.0,125.0,"2,775.0"
Calima Darién,2015,4.0,445.9,0.0,94.0,201.0
Candelaria,2015,3.0,0.0,"24,700.0","1,272.0",9.5
Cartago,2015,11.0,377.2,"4,141.8",53.0,166.0
Dagua,2015,240.0,"1,214.9",0.0,395.0,"1,100.0"
El Aguila,2015,20.0,"6,154.4",0.0,73.0,"1,511.0"
El Cairo,2015,0.0,"3,669.1",0.0,80.0,"3,915.0"
El Cerrito,2015,0.0,184.5,"15,425.0",882.0,0.0
El Dovio,2015,18.0,715.0,0.0,318.0,85.0
Florida,2015,16.0,"1,432.5","9,860.0",0.0,283.0
Ginebra,2015,0.0,865.6,"3,330.0",47.0,119.0
Guacarì,2015,5.0,549.6,"13,023.0",49.0,115.0
Jamundì,2015,268.0,"1,460.8","9,215.0",50.0,91.0
La Cumbre,2015,0.0,683.6,0.0,19.0,337.0
La Unión,2015,0.0,482.5,"1,412.5",9.3,31.7
La Victoria,2015,50.0,568.5,"1,535.0",114.0,307.0
Obando,2015,36.5,985.5,"5,714.0",101.0,297.0
Palmira,2015,2.5,408.7,"33,900.0",178.0,141.0
Pradera,2015,0.0,525.3,"10,540.0",0.0,7.0
Restrepo,2015,0.0,614.0,0.0,339.0,648.0
Riofrìo,2015,75.0,"2,993.4","2,830.0",121.0,"3,541.0"
Roldanillo,2015,13.4,860.2,"2,973.0",20.0,57.0
San Pedro,2015,0.0,490.1,"4,770.0",500.0,0.0
Sevilla,2015,18.0,"6,605.3",100.0,233.0,"4,308.0"
Toro,2015,12.0,"1,540.7","2,004.0",0.0,103.0
Trujillo,2015,20.0,"4,233.0",121.0,39.0,"3,503.0"
Tuluà,2015,29.0,"4,152.4","8,130.0",37.0,467.0
Ulloa,2015,0.0,686.9,0.0,0.0,260.0
Versalles,2015,7.0,"1,340.1",0.0,458.0,338.4
Vijes,2015,0.0,633.1,145.0,47.0,178.0
Yotoco,2015,0.0,"1,056.4","3,295.0",76.0,"1,324.0"
Yumbo,2015,0.0,301.1,"1,700.0",14.0,23.0
Zarzal,2015,5.7,0.0,"17,195.0",39.0,9.9
Cali,2014,0.0,670.0,"4,650.0",0.0,53.0
Alcalá,2014,0.0,"1,460.0",0.0,0.0,"1,100.0"
Andalucia,2014,15.0,302.0,"2,800.0",0.0,100.0
Ansermanuevo,2014,34.0,"5,744.0","1,603.6",76.3,506.0
Argelia,2014,10.0,"2,613.0",0.0,122.0,"1,566.0"
Bolivar,2014,196.0,"1,732.0",550.0,414.0,396.0
Buenaventura,2014,13.0,0.0,0.0,240.0,140.0
Buga,2014,5.0,525.0,"6,500.0",15.0,15.0
Bugalagrande,2014,83.0,"2,050.0","9,165.0",436.0,245.0
Caicedonia,2014,22.0,"4,989.0",100.0,125.0,"2,758.0"
Calima Darién,2014,4.0,484.0,0.0,120.0,208.5
Candelaria,2014,4.0,0.0,"24,700.0","1,272.0",9.5
Cartago,2014,10.0,397.0,"4,061.8",53.0,165.0
Dagua,2014,40.0,"1,550.0",0.0,395.0,"1,150.0"
El Aguila,2014,17.0,"6,248.2",0.0,73.0,"1,481.0"
El Cairo,2014,0.0,"4,001.0",0.0,82.0,"3,915.0"
El Cerrito,2014,0.0,200.0,"15,425.0",882.0,0.0
El Dovio,2014,23.0,720.0,0.0,323.0,90.0
Florida,2014,16.0,"1,376.0","9,860.0",0.0,283.0
Ginebra,2014,0.0,915.0,"3,330.0",50.0,125.0
Guacarì,2014,5.0,550.0,"13,038.0",52.0,118.0
Jamundì,2014,268.0,"1,529.0","9,200.0",55.0,71.0
La Cumbre,2014,0.0,812.0,0.0,20.0,333.0
La Unión,2014,0.0,494.1,"1,395.5",5.0,24.8
La Victoria,2014,50.0,578.0,"1,640.0",144.0,307.0
Obando,2014,37.5,"1,116.1","5,134.0",97.0,279.0
Palmira,2014,2.5,441.0,"33,900.0",178.0,114.0
Pradera,2014,0.0,523.0,"10,540.0",0.0,7.0
Restrepo,2014,0.0,687.5,0.0,339.0,648.0
Riofrìo,2014,75.0,"3,202.0","2,830.0",121.0,"3,541.0"
Roldanillo,2014,17.0,874.8,"2,035.0",27.0,57.0
San Pedro,2014,0.0,487.0,"4,720.0",485.0,0.0
Sevilla,2014,23.0,"7,170.0",63.0,233.0,"4,343.0"
Toro,2014,13.0,"1,611.0","1,704.0",0.0,103.0
Trujillo,2014,20.0,"4,340.0",121.0,39.0,"3,508.0"
Tuluà,2014,29.0,"4,148.0","8,130.0",35.0,472.0
Ulloa,2014,0.0,686.1,0.0,0.0,260.0
Versalles,2014,3.5,"1,450.0",0.0,458.0,334.0
Vijes,2014,0.0,701.0,130.0,53.0,179.0
Yotoco,2014,0.0,"1,175.0","3,295.0",76.0,"1,324.0"
Yumbo,2014,0.0,350.0,"1,670.0",12.0,21.0
Zarzal,2014,5.7,0.0,"17,195.0",44.0,14.0
Cali,2013,0.0,0.0,"4,627.5",0.0,53.0
Alcalá,2013,0.0,"1,491.8",0.0,0.0,150.0
Andalucia,2013,15.0,302.0,"2,730.7",0.0,100.0
Ansermanuevo,2013,35.0,"5,827.1","1,975.2",77.3,586.1
Argelia,2013,10.0,"4,215.0",0.0,125.0,"1,533.0"
Bolivar,2013,191.0,"1,785.0",639.0,399.0,376.0
Buenaventura,2013,13.0,0.0,0.0,243.0,137.0
Buga,2013,5.0,23.0,"6,453.1",15.0,15.0
Bugalagrande,2013,73.0,"2,764.0","9,164.6",436.0,245.0
Caicedonia,2013,18.0,"5,096.0",98.7,28.0,"2,761.0"
Calima Darién,2013,4.0,789.5,0.0,120.0,225.5
Candelaria,2013,4.0,0.0,"24,670.8",0.0,8.5
Cartago,2013,13.5,397.0,"3,918.8",53.0,164.0
Dagua,2013,40.0,"1,615.0",0.0,395.0,"1,150.0"
El Aguila,2013,20.0,"6,226.9",0.0,89.0,"1,571.0"
El Cairo,2013,0.0,"4,042.0",0.0,73.0,"3,913.0"
El Cerrito,2013,0.0,216.0,"15,424.8",882.0,0.0
El Dovio,2013,23.0,936.0,0.0,283.0,131.0
Florida,2013,16.0,"1,336.0","9,848.0",0.0,285.0
Ginebra,2013,0.0,"1,058.0","3,319.5",5.0,120.0
Guacarì,2013,5.0,598.0,"12,800.0",50.0,113.0
