Municipios,AÑO,Cacao,Café,Caña de azucar,Caña panelera,Plátano
Ansermanuevo,2008,26.0,"6,115.0","1,933.0",86.0,402.0
Argelia,2008,13.0,"3,221.0",0.0,107.0,"1,072.0"
Bolivar,2008,122.0,"1,880.0",241.0,395.0,334.0
Buenaventura,2008,0.0,0.0,0.0,250.0,100.0
Buga,2008,3.0,533.0,"7,000.0",99.0,442.0
Bugalagrande,2008,41.0,"2,292.0","10,514.0",414.0,325.0
Caicedonia,2008,0.0,"5,668.0",95.0,28.0,"2,756.0"
Calima Darién,2008,12.0,606.0,0.0,142.0,204.0
Candelaria,2008,0.0,0.0,"21,800.0","1,272.0",10.0
Cartago,2008,14.0,598.0,"2,570.0",112.0,134.0
Dagua,2008,54.0,"1,509.0",0.0,516.0,320.0
El Aguila,2008,44.0,"6,451.0",0.0,127.0,"1,413.0"
El Cairo,2008,0.0,"4,503.0",0.0,81.0,"1,759.0"
El Cerrito,2008,0.0,148.0,"14,652.0",332.0,6.0
El Dovio,2008,42.0,"1,015.0",0.0,372.0,190.0
Florida,2008,16.0,827.0,"10,790.0",0.0,226.0
Ginebra,2008,0.0,897.0,"2,583.0",10.0,155.0
Guacarì,2008,5.0,559.0,"11,235.0",65.0,108.0
Jamundì,2008,111.0,"1,527.0","6,185.0",68.0,133.0
La Cumbre,2008,5.0,808.0,0.0,65.0,108.0
La Unión,2008,14.0,573.0,"1,009.0",14.0,25.0
La Victoria,2008,40.0,708.0,"1,031.0",204.0,284.0
Obando,2008,25.0,"1,584.0","2,866.0",60.0,200.0
Palmira,2008,0.0,279.0,"32,328.0","1,782.0",120.0
Pradera,2008,0.0,359.0,"11,150.0",0.0,7.0
Restrepo,2008,0.0,"1,199.0",0.0,346.0,546.0
Riofrìo,2008,51.0,"3,968.0","3,700.0",91.0,"1,088.0"
Roldanillo,2008,30.0,940.0,"1,400.0",57.0,96.0
San Pedro,2008,0.0,421.0,"5,450.0",460.0,190.0
Sevilla,2008,11.0,"7,799.0",0.0,158.0,"2,835.0"
Toro,2008,21.0,"2,199.0",920.0,0.0,283.0
Trujillo,2008,12.0,"5,017.0",120.0,32.0,765.0
Tuluà,2008,66.0,"3,972.0","15,200.0",0.0,90.0
Ulloa,2008,0.0,995.0,0.0,0.0,429.0
Versalles,2008,0.0,"1,599.0",0.0,433.0,381.0
Vijes,2008,0.0,842.0,0.0,30.0,133.0
Yotoco,2008,0.0,"1,744.0","1,770.0",48.0,"1,037.0"
Yumbo,2008,0.0,339.0,"1,455.0",14.0,26.0
Zarzal,2008,0.0,0.0,"20,250.0",30.0,13.0
Cali,2007,0.0,628.3,"4,990.0",0.0,60.0
Alcalá,2007,0.0,"1,637.5",0.0,0.0,418.0
Andalucia,2007,22.0,327.0,"6,948.0",59.0,51.0
Ansermanuevo,2007,29.0,"6,159.3","1,977.8",124.0,336.7
Argelia,2007,10.0,"3,369.7",0.0,103.0,"1,048.0"
Bolivar,2007,92.0,"2,078.0",136.4,370.0,302.0
Buenaventura,2007,0.0,0.0,0.0,260.5,110.0
Buga,2007,0.0,593.5,"7,050.0",110.0,471.0
Bugalagrande,2007,33.0,"2,350.3","10,514.0",412.0,325.0
Caicedonia,2007,0.0,"6,382.2",0.0,22.5,"2,843.0"
Candelaria,2007,0.0,0.0,"21,800.0","1,272.0",10.0
Cartago,2007,4.0,748.6,"2,570.0",96.0,145.0
Dagua,2007,74.0,"1,764.4",0.0,520.0,364.0
Darièn,2007,12.0,633.4,0.0,136.0,202.0
El Aguila,2007,45.0,"7,602.5",0.0,127.0,201.0
El Cairo,2007,0.0,"5,026.7",0.0,81.5,800.0
El Cerrito,2007,0.0,149.1,"14,552.0",292.0,20.0
El Dovio,2007,40.0,"1,224.6",0.0,277.0,175.0
Florida,2007,19.6,907.5,"10,790.0",0.0,223.0
Ginebra,2007,0.0,978.7,"2,583.0",10.0,155.0
Guacarì,2007,9.0,631.2,"11,100.0",65.0,143.0
Jamundì,2007,118.0,"1,630.6","6,150.0",22.0,125.0
La Cumbre,2007,0.0,906.5,0.0,49.0,299.0
La Unión,2007,16.0,610.9,"1,015.0",14.0,25.0
La Victoria,2007,40.0,767.4,"1,030.5",198.0,286.0
Obando,2007,30.0,"1,796.6","2,194.0",75.0,354.5
Palmira,2007,0.0,304.5,"32,328.0","1,782.0",120.0
Pradera,2007,0.0,336.6,"11,150.0",0.0,10.0
Restrepo,2007,0.0,"1,384.6",0.0,321.0,538.0
Riofrìo,2007,61.0,"4,093.3","3,700.0",75.0,980.0
Roldanillo,2007,25.0,"1,004.0","1,400.0",47.0,95.0
San Pedro,2007,0.0,428.5,"5,450.0",460.0,190.0
Sevilla,2007,0.0,"8,743.5",0.0,150.0,"2,700.0"
Toro,2007,21.0,"2,314.7",870.0,0.0,283.0
Trujillo,2007,5.0,"4,974.0",120.0,20.0,720.0
Tuluà,2007,66.0,"4,244.4","15,200.0",0.0,130.0
Ulloa,2007,0.0,"1,056.3",0.0,0.0,211.0
Versalles,2007,0.0,"1,666.3",0.0,427.0,361.5
Vijes,2007,0.0,875.5,0.0,17.0,130.0
Yotoco,2007,0.0,"1,773.0","2,750.0",46.0,880.0
Yumbo,2007,0.0,374.7,"1,455.0",13.0,24.0
Zarzal,2007,0.0,0.0,"20,250.0",30.0,23.0
Cali,2006,0.00,631.46,"4,990.00",0.00,180.00
Alcalá,2006,0.00,"1,638.96",0.00,0.00,418.00
Andalucia,2006,8.00,324.92,"6,728.00",40.00,70.00
Ansermanuevo,2006,20.00,"6,066.80","1,977.75",119.00,326.65
Argelia,2006,10.00,"3,365.34",0.00,83.00,"1,028.00"
Bolivar,2006,82.00,"2,070.71",136.40,350.00,290.00
Buenaventura,2006,0.00,0.00,0.00,271.50,134.00
Buga,2006,0.00,562.76,"6,933.00",91.00,460.00
Bugalagrande,2006,25.00,"2,323.57","10,500.00",400.00,320.00
Caicedonia,2006,0.00,"6,365.04",0.00,19.50,"2,846.00"
Candelaria,2006,0.00,0.00,"21,800.00","1,272.00",10.00
Cartago,2006,0.00,883.64,"2,570.00",80.60,203.00
Dagua,2006,74.00,"1,742.10",0.00,510.00,370.00
Darièn,2006,0.00,586.08,0.00,130.00,200.00
El Aguila,2006,52.00,"7,572.62",0.00,107.00,201.00
El Cairo,2006,0.00,"5,192.06",0.00,81.50,800.00
El Cerrito,2006,0.00,146.06,"14,452.00",146.00,40.00
El Dovio,2006,0.00,"1,233.42",0.00,280.00,205.00
Florida,2006,23.60,911.67,"10,665.00",115.00,22.00
Ginebra,2006,0.00,986.91,"2,583.00",10.00,155.00
Guacarì,2006,4.00,586.01,"11,000.00",65.00,165.00
Jamundì,2006,118.00,"1,606.72","6,150.00",50.00,180.00
La Cumbre,2006,0.00,912.31,0.00,43.80,260.00
La Unión,2006,16.00,603.84,"1,015.00",14.50,25.00
La Victoria,2006,20.00,781.89,"1,020.00",178.00,283.00
Obando,2006,6.00,"1,904.49","2,194.00",90.00,329.50
Palmira,2006,0.00,333.48,"32,328.00","1,782.00",150.00
Pradera,2006,0.00,343.76,"11,150.00",0.00,10.00
Restrepo,2006,0.00,"1,375.50",0.00,314.00,530.00
Riofrìo,2006,25.00,"4,157.56","3,700.00",75.00,980.00
Roldanillo,2006,22.00,996.82,"1,350.00",40.00,95.00
San Pedro,2006,0.00,419.09,"5,450.00",460.00,190.00
Sevilla,2006,0.00,"8,424.95",0.00,150.00,"2,650.00"
Toro,2006,0.00,"2,283.73",870.00,27.00,280.00
Trujillo,2006,5.00,"4,967.54",115.00,30.00,700.00
Tuluà,2006,65.00,"4,220.35","15,500.00",220.00,600.00
Ulloa,2006,0.00,"1,065.52",0.00,0.00,131.00
Versalles,2006,0.00,"1,666.06",0.00,415.00,360.00
Vijes,2006,0.00,911.98,0.00,7.00,135.00
Yotoco,2006,0.00,"1,778.21","2,450.00",39.00,802.00
Yumbo,2006,0.00,402.43,"1,575.00",13.00,24.00
Zarzal,2006,0.00,0.00,"20,048.00",27.00,23.00
Cali,2005,0.00,905.24,"4,990.34",0.00,185.40
Alcalá,2005,4.30,"1,920.82",0.00,60.80,305.00
Andalucia,2005,7.98,325.13,"6,727.98",10.92,60.00
Ansermanuevo,2005,11.50,"6,686.37","2,391.18",116.00,316.65
Argelia,2005,6.00,"3,332.59",0.00,83.00,"1,028.00"
Bolivar,2005,82.00,"2,066.14",143.96,350.00,290.00
Buenaventura,2005,0.00,0.00,0.00,271.50,114.50
Buga,2005,0.00,986.87,"6,882.75",81.00,443.00
Bugalagrande,2005,5.30,"2,416.79","10,393.95",348.00,382.00
Caicedonia,2005,0.00,"6,617.89",0.00,19.50,"2,534.00"
Candelaria,2005,0.00,0.00,"21,764.93","1,250.00",6.20
Cartago,2005,0.00,937.15,"2,521.58",80.60,203.00
Dagua,2005,64.00,"2,241.79",0.00,508.00,334.00
Darièn,2005,0.00,903.43,0.00,130.00,200.00
El Aguila,2005,52.00,"7,654.90",0.00,107.00,201.60
El Cairo,2005,0.00,"5,492.05",0.00,81.50,715.00
El Cerrito,2005,0.00,192.53,"14,452.73",146.00,40.00
El Dovio,2005,0.00,"1,498.15",0.00,270.00,190.00
Florida,2005,23.60,"1,231.27","10,655.93",115.00,222.00
Ginebra,2005,0.00,"1,048.15","2,582.79",10.00,155.00
Guacarì,2005,0.00,778.49,"10,438.58",60.00,140.00
Jamundì,2005,120.00,"1,852.13","6,138.30",50.00,183.00
La Cumbre,2005,0.00,"1,261.13",0.00,43.80,255.00
La Unión,2005,0.00,664.20,"1,010.31",8.50,26.90
La Victoria,2005,4.00,936.56,"1,020.18",178.00,280.00
Obando,2005,6.00,"2,006.64","2,194.19",90.00,329.50
Palmira,2005,0.00,436.76,"33,945.35",30.00,352.30
Pradera,2005,0.00,480.15,"11,149.95",0.00,10.00
Restrepo,2005,0.00,"1,766.19",0.00,309.00,525.00
Riofrìo,2005,46.00,"4,251.87","3,661.35",70.00,"1,040.00"
Roldanillo,2005,15.00,"1,176.47","1,331.40",40.00,90.00
San Pedro,2005,0.00,559.73,"5,658.66",470.00,195.00
Sevilla,2005,0.00,"8,896.20",0.00,156.00,"2,600.00"
Toro,2005,0.00,"2,843.86",802.52,21.00,280.00
Trujillo,2005,5.00,"5,126.79",116.34,40.00,690.00
Tuluà,2005,22.00,"4,301.56","14,719.53",200.00,600.00
Ulloa,2005,0.00,"1,302.54",0.00,0.00,131.20
Versalles,2005,0.00,"1,998.26",0.00,410.00,370.77
Vijes,2005,0.00,"1,069.13",0.00,4.00,133.00
Yotoco,2005,0.00,"1,905.43","2,580.90",39.00,801.00
Yumbo,2005,0.00,623.44,"1,571.12",13.00,23.50
Zarzal,2005,0.00,0.00,"15,250.10",17.00,23.00
Cali,2004,0.00,875.31,"4,752.70",0.00,185.40
Alcalá,2004,4.30,"1,895.89",0.00,16.20,397.82
Andalucia,2004,7.98,314.10,"6,407.60",10.92,43.00
Ansermanuevo,2004,0.00,"6,625.01","2,277.31",112.00,309.90
Argelia,2004,6.00,"3,438.83",0.00,72.65,876.80
Bolivar,2004,82.00,"2,456.90",137.10,350.00,308.90
Buenaventura,2004,0.00,0.00,0.00,272.50,148.70
Buga,2004,0.00,960.07,"6,555.00",74.00,432.00
Bugalagrande,2004,5.30,"2,419.15","9,899.00",308.00,405.00
Caicedonia,2004,0.00,"6,883.00",0.00,19.50,"2,514.10"
Candelaria,2004,0.00,0.00,"20,728.50","1,250.00",6.20
Cartago,2004,0.00,912.46,"2,401.50",80.60,209.25
Dagua,2004,35.40,"2,138.90",0.00,159.50,469.60
Darièn,2004,0.00,898.40,0.00,122.00,351.80
El Aguila,2004,49.50,"7,575.59",0.00,79.00,201.60
El Cairo,2004,0.00,"5,444.46",0.00,81.50,700.70
El Cerrito,2004,0.00,199.18,"13,764.50",146.00,175.00
El Dovio,2004,0.00,"1,474.00",0.00,270.00,185.90
Florida,2004,23.60,"1,147.00","10,148.50",115.00,228.00
Ginebra,2004,0.00,"1,050.80","2,459.80",7.00,153.50
Guacarì,2004,0.00,752.70,"9,941.50",82.00,188.00
Jamundì,2004,97.90,"1,666.72","5,846.00",43.00,112.00
La Cumbre,2004,0.00,"1,207.73",0.00,43.90,255.00
La Unión,2004,0.00,637.36,962.20,8.50,26.90
La Victoria,2004,4.10,999.01,971.60,174.00,280.10
Obando,2004,4.00,"1,976.17","2,089.70",95.00,324.50
Palmira,2004,0.00,426.80,"32,328.90",30.00,352.30
Pradera,2004,0.00,454.10,"10,619.00",0.00,13.40
Restrepo,2004,0.00,"1,696.80",0.00,308.00,509.90
Riofrìo,2004,45.30,"4,303.04","3,487.00",68.00,"1,039.00"
Roldanillo,2004,7.94,"1,182.97","1,268.00",32.75,91.10
San Pedro,2004,0.00,627.50,"5,389.20",470.00,195.00
Sevilla,2004,0.00,"9,432.00",0.00,150.50,"2,520.00"
Toro,2004,0.00,"2,805.80",764.30,21.00,314.20
Trujillo,2004,5.00,"5,188.80",110.80,53.00,628.00
Tuluà,2004,22.00,"3,932.79","14,018.60",182.00,532.00
Ulloa,2004,0.00,"1,438.74",0.00,0.00,120.00
Versalles,2004,0.00,"1,940.08",0.00,455.00,350.63
Vijes,2004,0.00,"1,083.70",0.00,3.84,132.90
Yotoco,2004,0.00,"1,690.00","2,458.00",39.00,802.00
Yumbo,2004,0.00,608.00,"1,496.30",11.00,23.50
Zarzal,2004,0.00,0.00,"14,523.90",19.00,18.70
Cali,2003,0.00,875.31,"4,752.70",0.00,185.40
Alcalá,2003,4.30,"1,987.04",0.00,10.20,279.34
Andalucia,2003,7.98,314.08,"6,650.80",10.92,64.90
Ansermanuevo,2003,0.00,"6,630.01","2,246.70",108.00,304.90
Argelia,2003,0.00,"3,438.83",0.00,34.00,517.10
Bolivar,2003,78.00,"2,210.90",137.10,345.00,303.90
Buenaventura,2003,0.00,0.00,0.00,271.50,143.70
Buga,2003,0.00,937.47,"6,491.00",69.00,416.20
Bugalagrande,2003,5.30,"2,419.15","9,799.80",325.00,405.00
Caicedonia,2003,0.00,"6,700.10",0.00,18.00,"2,519.60"
Candelaria,2003,0.00,0.00,"20,728.50","1,250.00",6.20
Cartago,2003,0.00,932.87,"2,401.50",80.60,209.25
Dagua,2003,35.40,"2,166.42",0.00,159.50,364.80
Darièn,2003,0.00,898.43,0.00,135.00,351.80
El Aguila,2003,51.50,"7,605.59",0.00,69.00,191.60
El Cairo,2003,0.00,"5,434.46",0.00,81.50,706.00
El Cerrito,2003,0.00,205.18,"13,764.50",130.00,205.00
El Dovio,2003,0.00,"1,494.70",0.00,270.30,200.90
Florida,2003,23.60,"1,147.14","10,148.50",115.00,228.00
Ginebra,2003,0.00,"1,050.85","2,459.80",7.00,153.50
Guacarì,2003,0.00,752.72,"9,941.50",90.00,505.30
Jamundì,2003,27.90,"1,766.72","5,346.50",43.00,72.10
La Cumbre,2003,0.00,"1,287.73",0.00,28.30,286.40
La Unión,2003,0.00,692.13,729.30,8.50,26.90
La Victoria,2003,4.10,"1,022.59",971.60,172.00,278.10
Obando,2003,0.00,"2,020.87","2,029.70",75.00,359.50
Palmira,2003,0.00,426.86,"32,328.90",30.00,352.30
Pradera,2003,0.00,454.14,"10,619.00",0.00,13.40
Restrepo,2003,0.00,"1,756.80",0.00,313.00,544.90
Riofrìo,2003,45.30,"4,330.74","3,487.00",68.00,"1,039.00"
Roldanillo,2003,21.90,"1,220.57","1,256.00",82.00,98.60
San Pedro,2003,0.00,540.54,"5,389.20",465.00,188.00
Sevilla,2003,0.00,"9,289.80",0.00,71.00,"1,622.40"
Toro,2003,0.00,"2,720.30",814.30,21.00,314.20
Trujillo,2003,0.00,"5,216.89",110.80,30.00,474.00
Tuluà,2003,9.70,"4,050.79","13,318.60",82.00,499.85
Ulloa,2003,0.00,"1,470.74",0.00,0.00,91.20
Versalles,2003,0.00,"1,959.48",0.00,410.00,364.70
Vijes,2003,0.00,"1,083.68",0.00,3.84,132.90
Yotoco,2003,0.00,"1,884.60","2,469.80",38.00,825.10
Yumbo,2003,0.00,607.99,"1,496.30",15.00,23.70
Zarzal,2003,0.00,0.00,"14,523.90",17.00,22.70
Cali,2002,0.00,874.81,"4,730.00",0.00,180.00
Alcalá,2002,4.00,"2,133.15",0.00,10.20,271.34
Andalucia,2002,6.28,329.94,"6,619.00",10.92,63.00
Ansermanuevo,2002,0.00,"6,445.59","2,236.00",108.00,296.00
Argelia,2002,0.00,"3,479.20",0.00,34.00,502.00
Bolivar,2002,69.00,"2,497.38",136.40,345.00,295.00
Buenaventura,2002,0.00,0.00,0.00,271.50,139.50
Buga,2002,0.00,936.00,"6,460.00",63.00,404.00
Bugalagrande,2002,4.50,"2,486.40","9,753.00",325.00,396.00
Caicedonia,2002,0.00,"6,658.98",0.00,18.00,"2,446.00"
Candelaria,2002,0.00,0.00,"20,629.50","1,250.00",6.00
Cartago,2002,0.00,"1,328.53","2,390.00",80.60,203.25
Dagua,2002,33.00,"2,073.21",0.00,159.50,354.00
Darièn,2002,0.00,771.04,0.00,135.00,341.50
El Aguila,2002,42.40,"6,747.74",0.00,69.00,186.00
El Cairo,2002,0.00,"4,893.91",0.00,81.50,686.00
El Cerrito,2002,0.00,218.80,"13,698.77",130.00,199.00
El Dovio,2002,0.00,"1,724.28",0.00,270.30,195.00
Florida,2002,22.00,"1,070.93","10,100.00",115.00,222.00
Ginebra,2002,0.00,"1,074.96","2,448.00",7.00,149.00
Guacarì,2002,0.00,747.60,"9,894.00",90.00,490.50
Jamundì,2002,26.00,"1,517.30","5,321.00",43.00,70.00
La Cumbre,2002,0.00,"1,309.80",0.00,28.30,278.00
La Unión,2002,0.00,881.00,725.80,8.50,26.10
La Victoria,2002,2.00,961.06,967.00,172.00,270.00
Obando,2002,0.00,"1,643.28","2,020.00",75.00,349.00
Palmira,2002,0.00,495.94,"32,174.50",30.00,342.00
Pradera,2002,0.00,402.40,"10,568.30",0.00,13.00
Restrepo,2002,0.00,"1,416.21",0.00,313.00,529.00
Riofrìo,2002,31.00,"4,150.63","3,470.30",68.00,"1,009.00"
Roldanillo,2002,26.00,"1,378.12","1,250.00",82.00,95.60
San Pedro,2002,0.00,622.50,"5,363.50",465.00,181.50
Sevilla,2002,0.00,"8,544.35",0.00,71.00,"1,575.00"
Toro,2002,0.00,"2,114.54",810.30,21.00,305.00
Trujillo,2002,0.00,"5,104.24",110.30,30.00,461.00
Tuluà,2002,10.00,"3,869.24","13,255.00",82.00,484.85
Ulloa,2002,0.00,"1,465.94",0.00,0.00,87.60
Versalles,2002,0.00,"2,063.60",0.00,410.00,354.00
Vijes,2002,0.00,794.88,0.00,3.84,129.00
Yotoco,2002,0.00,"1,698.11","2,458.00",38.00,801.00
Yumbo,2002,0.00,710.40,"1,489.20",15.00,23.00
Zarzal,2002,0.00,0.00,"14,454.56",17.00,22.00
Cali,2001,0.00,873.24,"4,730.00",0.00,180.00
Alcalá,2001,4.00,"2,156.92",0.00,18.00,336.00
Andalucia,2001,5.00,346.00,"6,619.00",9.00,70.00
Ansermanuevo,2001,0.00,"6,499.30","2,236.00",100.00,295.00
Argelia,2001,0.00,"3,479.20",0.00,34.00,422.00
Bolivar,2001,65.00,"2,528.00",130.00,336.00,290.00
Buenaventura,2001,0.00,0.00,0.00,271.50,139.50
Buga,2001,0.00,936.00,"6,371.00",63.00,395.00
Bugalagrande,2001,4.00,"2,488.00","9,753.30",317.00,373.00
Caicedonia,2001,0.00,"6,690.30",0.00,18.00,"2,211.00"
Candelaria,2001,0.00,0.00,"20,629.50","1,250.00",6.00
Cartago,2001,0.00,"1,326.70","2,390.80",80.60,203.30
Dagua,2001,33.00,"2,070.34",0.00,159.00,354.00
Darièn,2001,0.00,803.65,0.00,135.00,341.50
El Aguila,2001,36.40,"6,743.30",0.00,66.00,183.00
El Cairo,2001,0.00,"4,895.00",0.00,81.50,686.00
El Cerrito,2001,0.00,218.80,"13,698.77",130.00,228.00
El Dovio,2001,0.00,"1,729.51",0.00,265.00,195.00
Florida,2001,22.00,"1,070.24","10,100.00",103.00,223.00
Ginebra,2001,0.00,"1,071.83","2,438.00",4.00,149.00
Guacarì,2001,0.00,747.60,"9,844.00",90.00,460.50
Jamundì,2001,26.00,"1,548.00","5,321.80",43.00,70.00
La Cumbre,2001,0.00,"1,309.80",0.00,27.10,352.00
La Unión,2001,0.00,888.30,725.80,8.50,31.90
La Victoria,2001,0.00,"1,060.00",967.00,160.00,264.00
Obando,2001,0.00,"1,704.25","2,000.00",70.00,339.00
Palmira,2001,0.00,495.80,"32,174.50",30.00,192.00
Pradera,2001,0.00,402.40,"10,568.30",0.00,13.00
Restrepo,2001,0.00,"1,396.25",0.00,313.00,559.00
Riofrìo,2001,19.00,"4,176.55","3,385.30",56.00,996.00
Roldanillo,2001,32.00,"1,429.82","1,250.00",82.00,97.60
San Pedro,2001,0.00,624.20,"5,363.50",457.00,181.50
Sevilla,2001,0.00,"8,630.70",0.00,155.00,"1,490.00"
Toro,2001,0.00,"2,134.50",810.30,21.00,305.00
Trujillo,2001,0.00,"5,106.47",110.30,25.00,461.00
Tuluà,2001,11.00,"3,876.78","13,255.00",77.00,482.85
Ulloa,2001,0.00,"1,479.56",0.00,0.00,77.60
Versalles,2001,0.00,"2,085.10",0.00,375.00,350.00
Vijes,2001,0.00,794.88,0.00,3.84,129.00
Yotoco,2001,0.00,"1,692.54","2,458.00",38.00,796.00
Yumbo,2001,0.00,709.50,"1,489.20",15.00,23.00
Zarzal,2001,0.00,0.00,"13,829.80",26.00,28.50
Cali,2000,0.00,850.00,"4,730.00",0.0,250.00
Alcalá,2000,4.00,"2,183.40",0.0,16.90,353.00
Andalucia,2000,5.00,361.60,"6,619.00",9.00,70.00
Ansermanuevo,2000,0.00,"5,621.00","2,236.00",81.00,292.00
Argelia,2000,0.00,"3,479.20",0.0,34.00,385.00
Bolivar,2000,65.00,"2,528.10",130.00,320.00,304.00
Buenaventura,2000,0.0,0.0,0.0,271.50,114.50
Buga,2000,0.0,941.00,"6,253.00",61.00,372.00
Bugalagrande,2000,4.00,"1,864.23","9,753.30",310.00,400.00
Caicedonia,2000,0.0,"6,787.00",0.0,9.00,"2,201.00"
Candelaria,2000,0.0,0.0,"20,529.50","1,250.00",9.00
Cartago,2000,0.0,"1,301.00","2,390.80",4.00,250.00
Dagua,2000,35.00,"2,061.00",0.0,160.00,406.00
Darièn,2000,0.0,959.80,0.0,135.00,331.50
El Aguila,2000,36.40,"6,740.70",0.0,65.00,183.00
El Cairo,2000,0.0,"4,885.00",0.0,81.00,700.00
El Cerrito,2000,0.0,228.00,"13,698.70",130.00,228.00
El Dovio,2000,0.0,"1,727.12",0.0,264.70,272.00
Florida,2000,15.00,"1,200.00","10,100.00",97.00,250.00
Ginebra,2000,0.0,"1,070.40","2,768.00",4.00,159.00
Guacarì,2000,0.0,743.50,"9,884.00",90.00,430.50
Jamundì,2000,25.00,"1,542.90","5,321.80",38.00,74.00
La Cumbre,2000,0.0,"1,309.80",0.0,90.00,352.00
La Unión,2000,0.0,887.80,725.80,8.50,28.81
La Victoria,2000,0.0,"1,062.00",967.00,200.00,264.00
Obando,2000,0.0,"1,706.18","2,000.30",65.00,339.00
Palmira,2000,0.0,435.00,"32,175.10",41.00,162.00
Pradera,2000,0.0,410.60,"10,568.30",0.0,13.00
Restrepo,2000,0.0,"1,705.20",0.0,531.50,535.00
Riofrìo,2000,17.00,"4,177.90","3,358.30",50.00,972.00
Roldanillo,2000,35.00,"1,449.00","1,028.50",76.00,65.60
San Pedro,2000,0.0,624.20,"5,363.50",445.00,188.50
Sevilla,2000,0.0,"8,432.00",0.0,135.00,"1,440.00"
Toro,2000,0.0,"2,149.00",960.60,21.00,270.00
Trujillo,2000,0.0,"5,105.20",110.30,25.00,459.00
Tuluà,2000,10.00,"3,880.00","13,305.80",77.00,484.00
Ulloa,2000,0.0,"1,422.32",0.0,0.0,30.60
Versalles,2000,0.0,"2,091.70",0.0,230.00,350.00
Vijes,2000,0.0,877.30,0.0,12.00,159.00
Yotoco,2000,0.0,"1,829.00","2,458.00",45.00,807.00
Yumbo,2000,0.0,709.10,"1,489.20",18.00,37.50
